,url_length,special_char_num,contains_login,is_ip,label,external_link_num,iframes_num,script_num,mailto_num,external_script_num,external_img_num,external_style_num,suspicious_keyword
0,36,6,0,0,1,,,,,,,,
1,42,6,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2,50,7,0,0,0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0
3,54,8,0,0,0,92.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0
4,35,7,0,0,0,33.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0
5,68,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44,3,0,0,1,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
7,84,8,0,0,0,69.0,0.0,56.0,0.0,0.0,0.0,0.0,1.0
8,34,6,0,0,0,8.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0
9,32,5,0,0,0,5.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0
10,35,5,0,0,0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0
11,82,7,0,0,0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
12,38,6,0,0,0,7.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
13,66,8,0,0,0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
14,85,5,0,0,0,39.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
15,37,6,0,0,1,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
16,41,6,0,0,0,93.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0
17,46,8,0,0,0,32.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0
18,44,6,0,0,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
19,48,7,0,0,0,105.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0
20,72,6,0,0,1,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
21,31,5,0,0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
22,91,13,0,0,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
23,88,7,1,0,1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
24,35,5,0,0,0,332.0,2.0,59.0,0.0,0.0,0.0,0.0,0.0
25,49,6,0,0,0,17.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
26,43,6,0,0,1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,75,7,0,0,0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0
28,64,8,0,0,0,42.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0
29,58,6,0,0,0,61.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
30,53,5,0,0,0,34.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0
31,72,5,0,0,0,106.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
32,65,7,0,0,0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0
33,98,7,0,0,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
34,26,4,0,0,0,12.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0
35,56,5,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,97,12,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,42,6,0,0,0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
38,29,5,0,0,0,27.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0
39,39,6,0,0,0,43.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
40,28,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,27,5,0,0,0,59.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0
42,59,7,0,0,0,29.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0
43,65,5,0,0,0,41.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0
44,118,7,0,0,1,,,,,,,,
45,43,6,0,0,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
46,38,5,0,0,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
47,30,4,0,0,0,7.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
48,55,6,0,0,0,10.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
49,47,5,0,0,0,163.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
50,32,5,0,0,1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
51,51,5,0,0,0,51.0,2.0,16.0,0.0,0.0,0.0,0.0,1.0
52,56,9,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,60,4,0,0,0,57.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0
54,42,5,0,0,0,70.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0
55,27,5,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,80,9,0,0,0,32.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0
57,62,6,0,0,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
